time,pdr_x,pdr_y
391833.377,80.3920043012496,-22.54222156274573
391833.417,80.3920043012496,-22.54222156274573
391833.457,80.3920043012496,-22.54222156274573
391833.497,80.3920043012496,-22.54222156274573
391833.537,80.3920043012496,-22.54222156274573
391833.577,80.3920043012496,-22.54222156274573
391833.617,80.3920043012496,-22.54222156274573
391833.657,80.3920043012496,-22.54222156274573
391833.696,80.3920043012496,-22.54222156274573
391833.736,80.3920043012496,-22.54222156274573
391833.776,80.3920043012496,-22.54222156274573
391833.816,80.3920043012496,-22.54222156274573
391833.856,80.3920043012496,-22.54222156274573
391833.896,80.3920043012496,-22.54222156274573
391833.936,80.3920043012496,-22.54222156274573
391833.976,80.3920043012496,-22.54222156274573
391834.016,80.3920043012496,-22.54222156274573
391834.056,80.3920043012496,-22.54222156274573
391834.096,79.73509440727993,-22.270745157230376
391834.136,79.73509440727993,-22.270745157230376
391834.176,79.73509440727993,-22.270745157230376
391834.216,79.73509440727993,-22.270745157230376
391834.256,79.73509440727993,-22.270745157230376
391834.296,79.73509440727993,-22.270745157230376
391834.336,79.73509440727993,-22.270745157230376
391834.376,79.73509440727993,-22.270745157230376
391834.416,79.73509440727993,-22.270745157230376
391834.456,79.73509440727993,-22.270745157230376
391834.496,79.73509440727993,-22.270745157230376
391834.536,79.73509440727993,-22.270745157230376
391834.576,79.73509440727993,-22.270745157230376
391834.615,79.29712953942082,-22.048982361240352
391834.655,79.29712953942082,-22.048982361240352
391834.695,79.29712953942082,-22.048982361240352
391834.735,79.29712953942082,-22.048982361240352
391834.775,79.29712953942082,-22.048982361240352
391834.815,79.29712953942082,-22.048982361240352
391834.855,79.29712953942082,-22.048982361240352
391834.895,79.29712953942082,-22.048982361240352
391834.935,79.29712953942082,-22.048982361240352
391834.975,79.29712953942082,-22.048982361240352
391835.015,79.29712953942082,-22.048982361240352
391835.055,79.29712953942082,-22.048982361240352
391835.095,79.29712953942082,-22.048982361240352
391835.135,78.64445985649756,-21.76746445321382
391835.175,78.64445985649756,-21.76746445321382
391835.215,78.64445985649756,-21.76746445321382
391835.255,78.64445985649756,-21.76746445321382
391835.295,78.64445985649756,-21.76746445321382
391835.335,78.64445985649756,-21.76746445321382
391835.375,78.64445985649756,-21.76746445321382
391835.415,78.64445985649756,-21.76746445321382
391835.455,78.64445985649756,-21.76746445321382
391835.495,78.64445985649756,-21.76746445321382
391835.535,78.64445985649756,-21.76746445321382
391835.575,78.64445985649756,-21.76746445321382
391835.614,78.64445985649756,-21.76746445321382
391835.654,77.98107661516505,-21.512214139470736
391835.694,77.98107661516505,-21.512214139470736
391835.734,77.98107661516505,-21.512214139470736
391835.774,77.98107661516505,-21.512214139470736
391835.814,77.98107661516505,-21.512214139470736
391835.854,77.98107661516505,-21.512214139470736
391835.894,77.98107661516505,-21.512214139470736
391835.934,77.98107661516505,-21.512214139470736
391835.974,77.98107661516505,-21.512214139470736
391836.014,77.98107661516505,-21.512214139470736
391836.054,77.98107661516505,-21.512214139470736
391836.094,77.98107661516505,-21.512214139470736
391836.134,77.98107661516505,-21.512214139470736
391836.174,77.31509687038495,-21.263817225058737
391836.214,77.31509687038495,-21.263817225058737
391836.254,77.31509687038495,-21.263817225058737
391836.294,77.31509687038495,-21.263817225058737
391836.334,77.31509687038495,-21.263817225058737
391836.374,77.31509687038495,-21.263817225058737
391836.414,77.31509687038495,-21.263817225058737
391836.454,77.31509687038495,-21.263817225058737
391836.494,77.31509687038495,-21.263817225058737
391836.534,77.31509687038495,-21.263817225058737
391836.573,77.31509687038495,-21.263817225058737
391836.613,77.31509687038495,-21.263817225058737
391836.653,77.31509687038495,-21.263817225058737
391836.693,77.31509687038495,-21.263817225058737
391836.733,76.64465137998458,-21.02773907708948
391836.773,76.64465137998458,-21.02773907708948
391836.813,76.64465137998458,-21.02773907708948
391836.853,76.64465137998458,-21.02773907708948
391836.893,76.64465137998458,-21.02773907708948
391836.933,76.64465137998458,-21.02773907708948
391836.973,76.64465137998458,-21.02773907708948
391837.013,76.64465137998458,-21.02773907708948
391837.053,76.64465137998458,-21.02773907708948
391837.092,76.64465137998458,-21.02773907708948
391837.132,76.64465137998458,-21.02773907708948
391837.172,76.64465137998458,-21.02773907708948
391837.212,76.64465137998458,-21.02773907708948
391837.252,76.64465137998458,-21.02773907708948
391837.292,75.9950732019977,-20.824921024685096
391837.332,75.9950732019977,-20.824921024685096
391837.372,75.9950732019977,-20.824921024685096
391837.412,75.9950732019977,-20.824921024685096
391837.452,75.9950732019977,-20.824921024685096
391837.492,75.9950732019977,-20.824921024685096
391837.531,75.9950732019977,-20.824921024685096
391837.571,75.9950732019977,-20.824921024685096
391837.611,75.9950732019977,-20.824921024685096
391837.651,75.9950732019977,-20.824921024685096
391837.691,75.9950732019977,-20.824921024685096
391837.731,75.9950732019977,-20.824921024685096
391837.771,75.9950732019977,-20.824921024685096
391837.811,75.3663872467505,-20.56445808802656
391837.851,75.3663872467505,-20.56445808802656
391837.891,75.3663872467505,-20.56445808802656
391837.931,75.3663872467505,-20.56445808802656
391837.971,75.3663872467505,-20.56445808802656
391838.011,75.3663872467505,-20.56445808802656
391838.051,75.3663872467505,-20.56445808802656
391838.092,75.3663872467505,-20.56445808802656
391838.132,75.3663872467505,-20.56445808802656
391838.172,75.3663872467505,-20.56445808802656
391838.212,75.3663872467505,-20.56445808802656
391838.252,75.3663872467505,-20.56445808802656
391838.292,75.3663872467505,-20.56445808802656
391838.332,74.71154636913569,-20.28802821888895
391838.372,74.71154636913569,-20.28802821888895
391838.412,74.71154636913569,-20.28802821888895
391838.452,74.71154636913569,-20.28802821888895
391838.491,74.71154636913569,-20.28802821888895
391838.531,74.71154636913569,-20.28802821888895
391838.571,74.71154636913569,-20.28802821888895
391838.611,74.71154636913569,-20.28802821888895
391838.651,74.71154636913569,-20.28802821888895
391838.691,74.71154636913569,-20.28802821888895
391838.731,74.71154636913569,-20.28802821888895
391838.771,74.71154636913569,-20.28802821888895
391838.811,74.71154636913569,-20.28802821888895
391838.851,74.71154636913569,-20.28802821888895
391838.891,74.71154636913569,-20.28802821888895
391838.931,74.71154636913569,-20.28802821888895
391838.971,74.71154636913569,-20.28802821888895
391839.011,74.71154636913569,-20.28802821888895
391839.051,74.71154636913569,-20.28802821888895
391839.091,74.71154636913569,-20.28802821888895
391839.131,74.71154636913569,-20.28802821888895
391839.171,74.71154636913569,-20.28802821888895
391839.211,74.71154636913569,-20.28802821888895
391839.251,74.71154636913569,-20.28802821888895
391839.291,74.71154636913569,-20.28802821888895
391839.331,74.71154636913569,-20.28802821888895
391839.371,74.71154636913569,-20.28802821888895
391839.411,74.04387210397108,-20.0442227161133
391839.45,74.04387210397108,-20.0442227161133
391839.49,74.04387210397108,-20.0442227161133
391839.53,74.04387210397108,-20.0442227161133
391839.57,74.04387210397108,-20.0442227161133
391839.61,74.04387210397108,-20.0442227161133
391839.65,74.04387210397108,-20.0442227161133
391839.69,74.04387210397108,-20.0442227161133
391839.73,74.04387210397108,-20.0442227161133
391839.77,74.04387210397108,-20.0442227161133
391839.81,74.04387210397108,-20.0442227161133
391839.85,74.04387210397108,-20.0442227161133
391839.89,74.04387210397108,-20.0442227161133
391839.93,74.04387210397108,-20.0442227161133
391839.97,74.04387210397108,-20.0442227161133
391840.01,74.04387210397108,-20.0442227161133
391840.05,74.04387210397108,-20.0442227161133
391840.09,74.04387210397108,-20.0442227161133
391840.13,74.04387210397108,-20.0442227161133
391840.17,74.04387210397108,-20.0442227161133
391840.21,74.04387210397108,-20.0442227161133
391840.25,74.04387210397108,-20.0442227161133
391840.29,74.04387210397108,-20.0442227161133
391840.33,74.04387210397108,-20.0442227161133
391840.37,74.04387210397108,-20.0442227161133
391840.41,74.04387210397108,-20.0442227161133
391840.449,73.58342710860984,-19.873980625515962
391840.489,73.58342710860984,-19.873980625515962
391840.529,73.58342710860984,-19.873980625515962
391840.569,73.58342710860984,-19.873980625515962
391840.609,73.58342710860984,-19.873980625515962
391840.649,73.58342710860984,-19.873980625515962
391840.689,73.58342710860984,-19.873980625515962
391840.729,73.58342710860984,-19.873980625515962
391840.769,73.58342710860984,-19.873980625515962
391840.809,73.58342710860984,-19.873980625515962
391840.849,73.58342710860984,-19.873980625515962
391840.889,73.58342710860984,-19.873980625515962
391840.929,73.58342710860984,-19.873980625515962
391840.969,73.58342710860984,-19.873980625515962
391841.009,73.11698265838251,-19.697363802644638
391841.049,73.11698265838251,-19.697363802644638
391841.088,73.11698265838251,-19.697363802644638
391841.128,73.11698265838251,-19.697363802644638
391841.168,73.11698265838251,-19.697363802644638
391841.208,73.11698265838251,-19.697363802644638
391841.248,73.11698265838251,-19.697363802644638
391841.288,73.11698265838251,-19.697363802644638
391841.328,73.11698265838251,-19.697363802644638
391841.367,73.11698265838251,-19.697363802644638
391841.407,73.11698265838251,-19.697363802644638
391841.447,73.11698265838251,-19.697363802644638
391841.487,73.11698265838251,-19.697363802644638
391841.527,72.47267814886733,-19.478369120708592
391841.567,72.47267814886733,-19.478369120708592
391841.607,72.47267814886733,-19.478369120708592
391841.647,72.47267814886733,-19.478369120708592
391841.687,72.47267814886733,-19.478369120708592
391841.727,72.47267814886733,-19.478369120708592
391841.767,72.47267814886733,-19.478369120708592
391841.807,72.47267814886733,-19.478369120708592
391841.847,72.47267814886733,-19.478369120708592
391841.887,72.47267814886733,-19.478369120708592
391841.927,72.47267814886733,-19.478369120708592
391841.967,72.47267814886733,-19.478369120708592
391842.007,71.79940132414634,-19.250491160299084
391842.047,71.79940132414634,-19.250491160299084
391842.088,71.79940132414634,-19.250491160299084
391842.128,71.79940132414634,-19.250491160299084
391842.168,71.79940132414634,-19.250491160299084
391842.208,71.79940132414634,-19.250491160299084
391842.248,71.79940132414634,-19.250491160299084
391842.288,71.79940132414634,-19.250491160299084
391842.328,71.79940132414634,-19.250491160299084
391842.367,71.79940132414634,-19.250491160299084
391842.407,71.79940132414634,-19.250491160299084
391842.447,71.79940132414634,-19.250491160299084
391842.487,71.79940132414634,-19.250491160299084
391842.527,71.79940132414634,-19.250491160299084
391842.567,71.10305489275972,-18.98250258275767
391842.607,71.10305489275972,-18.98250258275767
391842.647,71.10305489275972,-18.98250258275767
391842.687,71.10305489275972,-18.98250258275767
391842.727,71.10305489275972,-18.98250258275767
391842.767,71.10305489275972,-18.98250258275767
391842.807,71.10305489275972,-18.98250258275767
391842.847,71.10305489275972,-18.98250258275767
391842.887,71.10305489275972,-18.98250258275767
391842.927,71.10305489275972,-18.98250258275767
391842.967,71.10305489275972,-18.98250258275767
391843.007,71.10305489275972,-18.98250258275767
391843.047,71.10305489275972,-18.98250258275767
391843.087,70.47259065657501,-18.72637406308466
391843.127,70.47259065657501,-18.72637406308466
391843.167,70.47259065657501,-18.72637406308466
391843.207,70.47259065657501,-18.72637406308466
391843.247,70.47259065657501,-18.72637406308466
391843.287,70.47259065657501,-18.72637406308466
391843.326,70.47259065657501,-18.72637406308466
391843.366,70.47259065657501,-18.72637406308466
391843.406,70.47259065657501,-18.72637406308466
391843.446,70.47259065657501,-18.72637406308466
391843.486,70.47259065657501,-18.72637406308466
391843.526,70.47259065657501,-18.72637406308466
391843.566,70.47259065657501,-18.72637406308466
391843.606,70.47259065657501,-18.72637406308466
391843.646,69.8116782380841,-18.464792674925494
391843.686,69.8116782380841,-18.464792674925494
391843.726,69.8116782380841,-18.464792674925494
391843.766,69.8116782380841,-18.464792674925494
391843.806,69.8116782380841,-18.464792674925494
391843.846,69.8116782380841,-18.464792674925494
391843.886,69.8116782380841,-18.464792674925494
391843.926,69.8116782380841,-18.464792674925494
391843.966,69.8116782380841,-18.464792674925494
391844.006,69.8116782380841,-18.464792674925494
391844.046,69.8116782380841,-18.464792674925494
391844.086,69.8116782380841,-18.464792674925494
391844.126,69.8116782380841,-18.464792674925494
391844.166,69.17632330745117,-18.221048785118402
391844.206,69.17632330745117,-18.221048785118402
391844.246,69.17632330745117,-18.221048785118402
391844.285,69.17632330745117,-18.221048785118402
391844.325,69.17632330745117,-18.221048785118402
391844.365,69.17632330745117,-18.221048785118402
391844.405,69.17632330745117,-18.221048785118402
391844.445,69.17632330745117,-18.221048785118402
391844.485,69.17632330745117,-18.221048785118402
391844.525,69.17632330745117,-18.221048785118402
391844.565,69.17632330745117,-18.221048785118402
391844.605,69.17632330745117,-18.221048785118402
391844.645,69.17632330745117,-18.221048785118402
391844.685,68.50150799276827,-17.997767933686404
391844.725,68.50150799276827,-17.997767933686404
391844.765,68.50150799276827,-17.997767933686404
391844.805,68.50150799276827,-17.997767933686404
391844.845,68.50150799276827,-17.997767933686404
391844.885,68.50150799276827,-17.997767933686404
391844.925,68.50150799276827,-17.997767933686404
391844.965,68.50150799276827,-17.997767933686404
391845.005,68.50150799276827,-17.997767933686404
391845.045,68.50150799276827,-17.997767933686404
391845.085,68.50150799276827,-17.997767933686404
391845.124,68.50150799276827,-17.997767933686404
391845.164,68.50150799276827,-17.997767933686404
391845.204,67.82853543431511,-17.768992971953722
391845.243,67.82853543431511,-17.768992971953722
391845.283,67.82853543431511,-17.768992971953722
391845.323,67.82853543431511,-17.768992971953722
391845.363,67.82853543431511,-17.768992971953722
391845.403,67.82853543431511,-17.768992971953722
391845.443,67.82853543431511,-17.768992971953722
391845.483,67.82853543431511,-17.768992971953722
391845.523,67.82853543431511,-17.768992971953722
391845.563,67.82853543431511,-17.768992971953722
391845.603,67.82853543431511,-17.768992971953722
391845.643,67.82853543431511,-17.768992971953722
391845.683,67.82853543431511,-17.768992971953722
391845.723,67.82853543431511,-17.768992971953722
391845.763,67.15832187879465,-17.53225717503361
391845.803,67.15832187879465,-17.53225717503361
391845.843,67.15832187879465,-17.53225717503361
391845.883,67.15832187879465,-17.53225717503361
391845.923,67.15832187879465,-17.53225717503361
391845.963,67.15832187879465,-17.53225717503361
391846.003,67.15832187879465,-17.53225717503361
391846.043,67.15832187879465,-17.53225717503361
391846.083,67.15832187879465,-17.53225717503361
391846.123,67.15832187879465,-17.53225717503361
391846.163,67.15832187879465,-17.53225717503361
391846.202,67.15832187879465,-17.53225717503361
391846.242,67.15832187879465,-17.53225717503361
391846.282,66.53177970564725,-17.26667879307153
391846.322,66.53177970564725,-17.26667879307153
391846.362,66.53177970564725,-17.26667879307153
391846.402,66.53177970564725,-17.26667879307153
391846.442,66.53177970564725,-17.26667879307153
391846.482,66.53177970564725,-17.26667879307153
391846.522,66.53177970564725,-17.26667879307153
391846.562,66.53177970564725,-17.26667879307153
391846.602,66.53177970564725,-17.26667879307153
391846.642,66.53177970564725,-17.26667879307153
391846.682,66.53177970564725,-17.26667879307153
391846.722,66.53177970564725,-17.26667879307153
391846.762,66.53177970564725,-17.26667879307153
391846.802,65.87476469040041,-16.99545689630253
391846.842,65.87476469040041,-16.99545689630253
391846.882,65.87476469040041,-16.99545689630253
391846.922,65.87476469040041,-16.99545689630253
391846.962,65.87476469040041,-16.99545689630253
391847.002,65.87476469040041,-16.99545689630253
391847.042,65.87476469040041,-16.99545689630253
391847.082,65.87476469040041,-16.99545689630253
391847.122,65.87476469040041,-16.99545689630253
391847.161,65.87476469040041,-16.99545689630253
391847.201,65.87476469040041,-16.99545689630253
391847.241,65.87476469040041,-16.99545689630253
391847.281,65.87476469040041,-16.99545689630253
391847.321,65.21676317130766,-16.726637164105618
391847.361,65.21676317130766,-16.726637164105618
391847.401,65.21676317130766,-16.726637164105618
391847.441,65.21676317130766,-16.726637164105618
391847.481,65.21676317130766,-16.726637164105618
391847.521,65.21676317130766,-16.726637164105618
391847.561,65.21676317130766,-16.726637164105618
391847.601,65.21676317130766,-16.726637164105618
391847.641,65.21676317130766,-16.726637164105618
391847.681,65.21676317130766,-16.726637164105618
391847.721,65.21676317130766,-16.726637164105618
391847.761,65.21676317130766,-16.726637164105618
391847.801,65.21676317130766,-16.726637164105618
391847.841,65.21676317130766,-16.726637164105618
391847.881,64.55103204556846,-16.477574690479425
391847.921,64.55103204556846,-16.477574690479425
391847.961,64.55103204556846,-16.477574690479425
391848.001,64.55103204556846,-16.477574690479425
391848.041,64.55103204556846,-16.477574690479425
391848.081,64.55103204556846,-16.477574690479425
391848.121,64.55103204556846,-16.477574690479425
391848.161,64.55103204556846,-16.477574690479425
391848.201,64.55103204556846,-16.477574690479425
391848.241,64.55103204556846,-16.477574690479425
391848.281,64.55103204556846,-16.477574690479425
391848.321,64.55103204556846,-16.477574690479425
391848.361,64.55103204556846,-16.477574690479425
391848.401,64.55103204556846,-16.477574690479425
391848.441,64.55103204556846,-16.477574690479425
391848.481,64.55103204556846,-16.477574690479425
391848.521,64.55103204556846,-16.477574690479425
391848.561,64.55103204556846,-16.477574690479425
391848.601,64.55103204556846,-16.477574690479425
391848.641,64.55103204556846,-16.477574690479425
391848.681,64.55103204556846,-16.477574690479425
391848.721,64.55103204556846,-16.477574690479425
391848.761,64.55103204556846,-16.477574690479425
391848.801,64.55103204556846,-16.477574690479425
391848.841,64.55103204556846,-16.477574690479425
391848.881,64.55103204556846,-16.477574690479425
